locality,municipality
ABRANTES,CAMACARI
ADHEMAR DE BARROS,TERRA RICA
AGUA BOA,PAICANDU
AGUAS FERREAS,SAO PEDRO DOS FERROS
AGUAS LINDAS DE GOIAS,AGUAS LINDAS DE GOIAS
ALDEIA,CONSELHEIRO PENA
ALTO ALEGRE DO IGUACU,CAPITAO LEONIDAS MARQUES
AMARANTINA,OURO PRETO
AMERICANO,SANTA ISABEL DO PARA
ANDRADE PINTO,VASSOURAS
ANTA,SAPUCAIA
ANTONIO PEREIRA,OURO PRETO
ANTUNES,IGARATINGA
ARACE,DOMINGOS MARTINS
AREIA BRANCA DOS ASSIS,MANDIRITUBA
AREMBEPE,CAMACARI
ARRAIAL D AJUDA,PORTO SEGURO
AVELAR,PATY DO ALFERES
AZURITA,MATEUS LEME
BACAXA,SAQUAREMA
BARRA DE SAO JOAO,CASIMIRO DE ABREU
BARRA DO CUIETE,CONSELHEIRO PENA
BARREIRO BRANCO,CATUTI
BIZARRA,BOM JARDIM
BONFIM PAULISTA,RIBEIRAO PRETO
BOTELHO,SANTA ADELIA
BRACO DO RIO,CONCEICAO DA BARRA
BRAZLANDIA,BRASILIA
BREJO BONITO,CRUZEIRO DA FORTALEZA
BUZIOS,ARMACAO DOS BUZIOS
CACHOEIRA DE SANTA CRUZ,VICOSA
CACHOEIRA DO CAMPO,OURO PRETO
CALIFORNIA DA BARRA,BARRA DO PIRAI
CAMPO GRANDE,RIO DE JANEIRO
CANABRAVA,JOAO PINHEIRO
CANDANGOLANDIA,BRASILIA
CAPONGA,CASCAVEL
CARAJAS,PARAUAPEBAS
CATU DE ABRANTES,CAMACARI
CATUNE,TOMBOS
CEILANDIA,BRASILIA
COCAIS,BARAO DE COCAIS
COLONIA VITORIA,GUARAPUAVA
COMENDADOR VENANCIO,ITAPERUNA
CONCEICAO DE JACAREI,MANGARATIBA
CONSERVATORIA,VALENCA
COSTAS DA MANTIQUEIRA,BARBACENA
CRUZEIRO,BRASILIA
CRUZES,PANELAS
DALBERGIA,IBIRAMA
DESERTO,ITAPIPOCA
DOMELIA,AGUDOS
ECOPORANGA,ECOPORANGA
ENGENHEIRO PASSOS,RESENDE
ENGENHEIRO SCHNOOR,ARACUAI
ESTACAO COCAL,MORRO DA FUMACA
EXTREMA,PORTO VELHO
FERRUGINHA,CONSELHEIRO PENA
FLORESTA DO SUL,PRESIDENTE PRUDENTE
FRADE,MACAE
FRAGOSOS,CAMPO ALEGRE
GAMA,BRASILIA
GOIABAL,GOVERNADOR VALADARES
GOITACAZES,CAMPOS DOS GOYTACAZES
GOVERNADOR LOMANTO JUNIOR,BARRO PRETO
GOVERNADOR PORTELA,MIGUEL PEREIRA
GRANADA,ABRE CAMPO
GUAPORANGA,BIGUACU
GUARA,BRASILIA
GUIA DE PACOBAIBA,MAGE
HOLAMBRA II,PARANAPANEMA
IBITIUVA,PITANGUEIRAS
ILHA GRANDE,ANGRA DOS REIS
INHOMIRIM,MAGE
INOA,MARICA
IPITUNA,SAO SEBASTIAO DO ALTO
IPOEMA,ITABIRA
IRAPE,CHAVANTES
ITABATA,MUCURI
ITACURUCA,MANGARATIBA
ITAIPAVA,ITAPEMIRIM
ITAMIRA,APORA
JACARE,CABREUVA
JACI PARANA,PORTO VELHO
JAFA,GARCA
JAMAPARA,SAPUCAIA
JANSEN,FARROUPILHA
JAPUIBA,CACHOEIRAS DE MACACU
JORDANESIA,CAJAMAR
LAGES,MARANGUAPE
LAGO NORTE,BRASILIA
LAGO SUL,BRASILIA
LAJINHA,PANCAS
LAVRAS NOVAS,OURO PRETO
LIDICE,RIO CLARO
LUCAIA,PLANALTO
LUZIAPOLIS,CAMPO ALEGRE
MANTIQUEIRA DO PALMITAL,BARBACENA
MARESIAS,SAO SEBASTIAO
MARTINESIA,UBERLANDIA
MARTINHO PRADO JUNIOR,MOGI GUACU
MENINO JESUS,CANDEIAS
MONTE ALEGRE DO SUL,MONTE ALEGRE DO SUL
MONTE ALVERNE,SANTA CRUZ DO SUL
MONTE GORDO,CAMACARI
MONTE VERDE,CAMANDUCAIA
MORRO DO FERRO,OLIVEIRA
MURUCUPI,BARCARENA
MUTUM PARANA,PORTO VELHO
NOSSA SENHORA DA LUZ,SAO LOURENCO DA MATA
NOVA ALEXANDRIA,CANDIDO MOTA
NOVA ESPERANCA,MONTES CLAROS
NOVO DIAMANTINO,DIAMANTINO
NUCLEO BANDEIRANTE,BRASILIA
OTAVIO ROCHA,FLORES DA CUNHA
PADRE FIALHO,MATIPO
PAPUCAIA,CACHOEIRAS DE MACACU
PARAISO,SAO PAULO
PARAJU,DOMINGOS MARTINS
PARANOA,BRASILIA
PARAPEUNA,VALENCA
PEDRO VERSIANI,TEOFILO OTONI
PENEDO,ITATIAIA
PERPETUO SOCORRO,BELO ORIENTE
PIEDADE DO PARAOPEBA,BRUMADINHO
PINHEIRO GROSSO,BARBACENA
PINHEIROS ALTOS,PIRANGA
PIPA,TIBAU DO SUL
PIRAPO,APUCARANA
PLANALTINA,BRASILIA
PLANALTINA DE GOIAS,PLANALTINA DE GOIAS
POLVILHO,CAJAMAR
PONTE ALTA,UBERABA
PORTELA,ITAOCARA
PORTO TROMBETAS,ORIXIMINA
POSTO DA MATA,NOVA VICOSA
POTUNDUVA,JAU
PRAIA GRANDE,FUNDAO
PRAIA GRANDE FUNDAO,FUNDAO
PRIMAVERA,ROSANA
QUATITUBA,ITUETA
QUATRO BOCAS,TOME ACU
QUINTA,RIO GRANDE
QUINTINOS,CARMO DO PARANAIBA
RAPOSO,ITAPERUNA
RAVENA,SABARA
REALEZA,MANHUACU
RECANTO DAS EMAS,BRASILIA
RIACHO FUNDO,BRASILIA
RIACHO FUNDO 2,BRASILIA
RIO DAS MORTES,SAO JOAO DEL REI
RIO PEQUENO,SAO PAULO
ROCAS NOVAS,CAETE
ROSARIO DO PONTAL,PONTE NOVA
RUBIAO JUNIOR,BOTUCATU
SACRA FAMILIA DO TINGUA,ENGENHEIRO PAULO DE FRONTIN
SAMAMBAIA,BRASILIA
SAMPAIO CORREIA,SAQUAREMA
SANTA CECILIA,CAMPINA GRANDE
SANTA ELVIRA,JUSCIMEIRA
SANTA ISABEL DO RIO PRETO,VALENCA
SANTA LUZIA,CARATINGA
SANTA MARIA,BRASILIA
SANTA RITA DE OURO PRETO,OURO PRETO
SANTANA DO SOBRADO,CASA NOVA
SANTO ALEIXO,MAGE
SANTO AMARO DE CAMPOS,CAMPOS DOS GOYTACAZES
SANTO ANTONIO DAS QUEIMADAS,JUREMA
SANTO ANTONIO DO LEITE,OURO PRETO
SAO FRANCISCO DA PRAIA,SAO SEBASTIAO
SAO FRANCISCO XAVIER,SAO JOSE DOS CAMPOS
SAO GONCALO DE BOTELHOS,BOTELHOS
SAO JOAO DA SERRA NEGRA,PATROCINIO
SAO JOAO DE PETROPOLIS,SANTA TERESA
SAO JOAO DO PARAISO,CAMBUCI
SAO JOSE DA MATA,CAMPINA GRANDE
SAO JOSE DAS LARANJEIRAS,MARACAI
SAO JOSE DO TURVO,BARRA DO PIRAI
SAO SEBASTIAO,BRASILIA
SAO SEBASTIAO DE CAMPOS,CAMPOS DOS GOYTACAZES
SAO SEBASTIAO DO SACRAMENTO,MANHUACU
SAO SEBASTIAO DOS TORRES,BARBACENA
SAO VICENTE DE PAULA,ARARUAMA
SENADOR JOSE BENTO,SENADOR JOSE BENTO
SENHORA DAS DORES,BARBACENA
SILVANO,PATROCINIO
SOBRADINHO,BRASILIA
SUCESSO,TAMBORIL
TAGUATINGA,BRASILIA
TAMOIOS,CABO FRIO
TAPUIRAMA,UBERLANDIA
TRANCOSO,PORTO SEGURO
TRAVESSAO,CAMPOS DOS GOYTACAZES
VARGEM ALEGRE,BARRA DO PIRAI
VARGEM GRANDE DO SOTURNO,CACHOEIRO DE ITAPEMIRIM
VARZEA NOVA,SANTA RITA
VAU ACU,PONTE NOVA
VEREDAS,JOAO PINHEIRO
VIDIGAL,CIANORTE
VILA DOS CABANOS,BARCARENA
VILA MURIQUI,MANGARATIBA
VILA PEREIRA,NANUQUE
VILA REIS,APUCARANA
VILA SAO FRANCISCO,PAU D ARCO
VISTA ALEGRE DO ABUNA,PORTO VELHO
VITORIA,GUARAPUAVA
VITORINOS,ALTO RIO DOCE
WERNECK,PARAIBA DO SUL

