zip_code_prefix,city_associated
01307,SAO PAULO
03203,SAO PAULO
04004,PARAISO
05372,RIO PEQUENO
06050,OSASCO
07097,GUARULHOS
07141,GUARULHOS
07787,CAJAMAR
07790,CAJAMAR
07792,CAJAMAR
07793,CAJAMAR
08543,FERRAZ DE VASCONCELOS
09540,SAO CAETANO DO SUL
09780,SAO BERNARDO DO CAMPO
11610,SAO SEBASTIAO
11612,SAO SEBASTIAO
11619,SAO SEBASTIAO
11621,SAO SEBASTIAO
11623,SAO SEBASTIAO
11626,SAO SEBASTIAO
11628,SAO SEBASTIAO
13380,NOVA ODESSA
13820,MONTE ALEGRE DO SUL
13910,JAGUARIUNA
18240,ANGATUBA
18271,TATUI
23895,SEROPEDICA
24900,MARICA
26520,NILOPOLIS
28610,NOVA FRIBURGO
29132,VILA VELHA
29800,ECOPORANGA
32260,CONTAGEM
35147,ACUCENA
36576,PORTO FIRME
37136,ALFENAS
37550,POUSO ALEGRE
37556,CAREACU
37557,POUSO ALEGRE
37558,SENADOR JOSE BENTO
37559,IPUIUNA
37560,SILVIANOPOLIS
39445,CAPITAO ENEAS
39809,TEOFILO OTONI
44590,SANTA TERESINHA
45990,TEIXEIRA DE FREITAS
48610,GLORIA
54400,JABOATAO DOS GUARARAPES
56828,QUIXABA
57246,ROTEIRO
58100,CABEDELO
58101,CABEDELO
58102,CABEDELO
58103,CABEDELO
58108,CABEDELO
58444,SANTA CECILIA
62597,CRUZ
62800,CASCAVEL
65935,BURITIRANA
65943,FORMOSA DA SERRA NEGRA
69555,CARAUARI
69921,PORTO ACRE
72915,AGUAS LINDAS DE GOIAS
73750,PLANALTINA DE GOIAS
73752,PLANALTINA DE GOIAS
75260,SENADOR CANEDO
75390,TRINDADE
75893,SAO SIMAO
75914,OUROANA
76310,RIALMA
76385,GUARINOS
76963,CACOAL
76970,PIMENTA BUENO
76990,CHUPINGUAIA
78557,SINOP
78678,BOM JESUS DO ARAGUAIA
80630,CURITIBA
81470,CURITIBA
83404,COLOMBO
88330,BALNEARIO CAMBORIU
88370,BOTUVERA
88371,BOTUVERA
88509,LAGES
89115,LUIZ ALVES
88915,MARACAJA

