holiday_date,holiday_name
2016-09-07,Dia da Independencia
2016-10-12,Nossa Senhora Aparecida
2016-11-02,Finados
2016-11-15,Proclamacao da Republica
2016-12-25,Natal
2017-01-01,Ano Novo
2017-04-14,Sexta-feira Santa
2017-04-21,Dia de Tiradentes
2017-05-01,Dia do Trabalho
2017-09-07,Dia da Independencia
2017-10-12,Nossa Senhora Aparecida
2017-11-02,Finados
2017-11-15,Proclamacao da Republica
2017-12-25,Natal
2018-01-01,Ano Novo
2018-03-30,Sexta-feira Santa
2018-04-21,Dia de Tiradentes
2018-05-01,Dia do Trabalho
2018-09-07,Dia da Independencia
2018-10-12,Nossa Senhora Aparecida
